Date,User,Tag1,Tag2,Tag3,Link
2020-06-20T09:39:42,_/\_,,,,https://github.com/chrislgarry/Apollo-11
2020-06-20T21:38:54,_/\_,,,,https://nlpoverview.com/
2020-07-06T14:26:15,_/\_,,,,https://github.com/jnv/lists
2020-07-06T14:28:23,_/\_,,,,http://highscalability.com/
2020-07-06T14:29:03,_/\_,,,,https://powir.slapbot.me/
2020-07-06T15:12:51,_/\_,,,,https://nathanbarry.com/wealth-creation/
2020-07-06T21:49:17,_/\_,,,,app.saastruniversity.com/share/MDOmoKP0bRuLsV7B
2020-07-08T21:24:27,_/\_,,,,https://metacademy.org
2020-07-08T21:28:20,_/\_,,,,https://cs007.blog
2020-07-12T10:19:07,_/\_,,,,https://www.lapa.ninja/blog/free-illustrations-library-for-your-project/
2020-07-14T10:58:24,_/\_,,,,https://www.github.com/scutan90/DeepLearning-500-questions/tree/master/English%20version%2FREADME.md
2020-07-14T10:58:57,_/\_,,,,https://www.github.com/scutan90/DeepLearning-500-questions/tree/master/English%20version%2FREADME.md
2020-07-23T22:04:23,_/\_,,,,https://www.benkuhn.net/progessays/
2020-08-05T17:55:56,_/\_,,,,https://waitwho.is/
2020-08-16T18:04:16,_/\_,,,,https://radreads.co/10k-work/
2020-05-14T11:28:12,abstractxan,Collection,,,https://www.youtube.com/channel/UCuXy5tCgEninup9cGplbiFw
2020-05-14T11:30:13,abstractxan,Lexer,,,http://re2c.org/
2020-05-14T11:30:30,abstractxan,,,,http://re2c.org/
2020-05-14T11:33:54,abstractxan,Interactive,Web,,https://www.katacoda.com/embed/
2020-05-14T11:34:07,abstractxan,Latex,,,https://github.com/goldsborough/latexpp
2020-05-14T11:58:31,abstractxan,Collection,,,https://fosstodon.org/tags/fossmendations
2020-05-14T12:32:54,abstractxan,Tool,CLI,,http://www.valgrind.org/
2020-05-14T12:33:07,abstractxan,DevTool,,,https://jrnl.sh/
2020-05-14T13:44:42,abstractxan,DevTool,CLI,Parser,http://genparse.sourceforge.net/
2020-05-14T17:00:41,abstractxan,Collection,Cookbook,Web,https://serviceworke.rs/
2020-05-14T19:15:34,abstractxan,,,,https://flathub.org/apps/details/com.github.alainm23.planner
2020-05-14T22:21:17,abstractxan,Unity,Procedural,,https://www.youtube.com/watch?v=wbpMiKiSKm8&list=PLFt_AvWsXl0eBW2EiBtl_sxmDtSgZBxB3
2020-05-14T22:38:16,abstractxan,Thread,Porting,,https://fosstodon.org/web/statuses/104164193766251528
2020-05-15T08:02:11,abstractxan,DSA,,,https://gist.github.com/AbstractXan/81116f3583aa52d784e4d69ea88e0062
2020-05-15T15:53:55,abstractxan,Programming,,,https://developers.redhat.com/articles/defensive-coding-guide/?intcmp=70160000000h1s6AAA&extIdCarryOver=true&sc_cid=701f2000001OH79AAG
2020-05-15T17:16:25,abstractxan,Tool,P2P,,https://beakerbrowser.com/
2020-05-15T17:21:09,abstractxan,P2P,,,https://p2pforever.org/
2020-05-15T17:46:52,abstractxan,Article,,,http://cultureandcommunication.org/galloway/anti-computer
2020-05-15T18:17:44,abstractxan,Git,,,https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=beaker-browser
2020-05-15T18:28:34,abstractxan,Webring,,,https://webring.xxiivv.com/wiki.html
2020-05-15T18:34:11,abstractxan,Portfolio,,,https://nikitavoloboev.xyz/
2020-05-16T08:05:49,abstractxan,Programming,Flow programming,,https://en.wikipedia.org/wiki/Flow-based_programming
2020-05-16T08:16:35,abstractxan,Article,,,https://en.wikipedia.org/wiki/Knowledge_worker
2020-05-16T17:09:08,abstractxan,Tensorflow,,,https://www.tensorflow.org/tutorials
2020-05-19T18:53:33,abstractxan,ML,,,https://www.kaggle.com/rhodiumbeng/classifying-multi-label-comments-0-9741-lb
2020-05-20T08:24:55,abstractxan,Site Generator,,,https://www.11ty.dev/
2020-05-21T14:37:07,abstractxan,DSA,,,www.pramp.com
2020-05-21T18:29:19,abstractxan,ML,,,https://orange.biolab.si/
2020-05-23T21:04:34,abstractxan,DevTool,,,https://sourcehut.org
2020-05-23T21:07:59,abstractxan,Portfolio,,,https://drewdevault.com/
2020-05-25T09:53:14,abstractxan,Computers,,,https://www.geeksforgeeks.org/lmns-gq/
2020-05-26T06:23:08,abstractxan,DSA,,,https://algorithm-visualizer.org
2020-05-26T06:26:22,abstractxan,Open Source,,,https://contribute.dev/
2020-06-04T13:39:09,abstractxan,Visualization,,,https://explorabl.es/
2020-06-04T13:39:23,abstractxan,Technology,,,https://www.youtube.com/watch?v=XRXTsQwyZSU
2020-06-04T13:39:39,abstractxan,Game,,,https://ncase.me/trust/
2020-06-04T16:18:02,abstractxan,Tutorial,,,https://gowebexamples.com/http-server/
2020-06-05T11:18:33,abstractxan,ML,,,https://www.youtube.com/playlist?list=PLqYmG7hTraZCDxZ44o4p3N5Anz3lLRVZF
2020-06-06T18:32:38,abstractxan,Technology,,,https://youtu.be/NoDRq6Twkts
2020-06-06T20:35:57,abstractxan,,,,https://youtu.be/iKn0GzF5-IU
2020-06-07T10:02:19,abstractxan,,,,https://hackattic.com/challenges
2020-06-08T18:04:16,abstractxan,Computers,Linux,,https://makelinux.github.io/kernel/map/
2020-06-09T06:12:04,abstractxan,,,,https://nodes.io/
2020-06-09T06:22:09,abstractxan,Technology,,,https://althea.net/
2020-06-09T20:48:00,abstractxan,Font,,,https://github.com/tonsky/FiraCode
2020-06-10T09:42:22,abstractxan,,,,https://summerofcode.withgoogle.com/organizations/?sp-page=2
2020-06-12T03:13:31,abstractxan,Article,Web,Analytics,https://www.pcmaffey.com/roll-your-own-analytics
2020-06-12T10:26:46,abstractxan,Tutorial,Go,,https://www.youtube.com/playlist?list=PLmxT2pVYo5LDMV0epL4z4CUbxvIw6umg_
2020-06-12T11:49:06,abstractxan,DevTool,,,https://github.com/jhawthorn/fzy
2020-06-12T11:54:28,abstractxan,DevTool,,,https://github.com/google/orbit
2020-06-12T11:58:27,abstractxan,,,,https://paulbatchelor.github.io/
2020-06-13T09:47:00,abstractxan,,,,https://www.youtube.com/channel/UCiuhuf2Xq0d05_4sHG0xmQA
2020-06-13T09:48:39,abstractxan,ML,,,https://www.instagram.com/machinelearning/
2020-06-13T17:33:36,abstractxan,ML,,,https://youtu.be/r0Ogt-q956I
2020-06-14T03:52:38,abstractxan,Programming,,,https://www.dailycodingproblem.com/
2020-06-14T09:11:58,abstractxan,,,,https://github.com/GothenburgBitFactory/timewarrior
2020-06-14T23:02:41,abstractxan,,,,https://github.com/omarroth/invidious
2020-06-16T20:19:27,abstractxan,,,,https://fosstodon.org/web/statuses/104349271355746443
2020-06-16T20:26:08,abstractxan,DSA,,,https://b-ok.asia/book/2855973/aaf467
2020-06-18T06:50:15,abstractxan,Programming,C++,,https://google.github.io/styleguide/cppguide.html
2020-06-18T17:54:32,abstractxan,Programming,C++,,https://www.learncpp.com/
2020-06-19T18:53:01,abstractxan,General,,,https://www.codota.com/
2020-06-20T11:49:26,abstractxan,ML,,,https://instagram.com/neuralnet.ai?igshid=1cpx2eb2d0p46
2020-06-24T09:33:25,abstractxan,DSA,,,https://www.cs.usfca.edu/~galles/visualization/Algorithms.html
2020-06-24T11:05:03,abstractxan,Article,Design,,https://tonsky.me/blog/github-redesign/
2020-06-24T17:15:52,abstractxan,Collection,,,https://learnawesome.org/
2020-06-24T18:04:33,abstractxan,Tool,,,https://tiddlywiki.com/
2020-06-25T17:41:50,abstractxan,,,,https://github.com/syxanash/awesome-web-desktops
2020-06-28T11:40:04,abstractxan,ML,,,https://deep-learning-drizzle.github.io/
2020-06-29T06:42:29,abstractxan,,,,https://web.archive.org/web/20200507085330/http://www.powersearchingwithgoogle.com/
2020-06-29T06:45:44,abstractxan,,,,https://github.com/Alikhll/golang-developer-roadmap
2020-06-29T06:57:41,abstractxan,Go,Tutorial,,https://golangbot.com/learn-golang-series/
2020-06-29T06:58:46,abstractxan,Go,,,https://github.com/tmrts/go-patterns
2020-07-02T09:07:11,abstractxan,,,,https://gabnotes.org/sourcehut
2020-07-02T10:32:19,abstractxan,,,,https://www.youtube.com/watch?v=H8YnVk2vhzghttps://www.youtube.com/watch?v=H8YnVk2vhzg
2020-07-03T10:21:26,abstractxan,,,,https://youtu.be/tc4ROCJYbm0
